Date,Open,High,Low,Close,Volume,Adj Close,Return
5/12/2013,5224.3,5227.2,5150.1,5150.1,992485600,5150.1,0.002163854
4/12/2013,5207.3,5228.6,5179.4,5224.28,784716600,5224.28,0.014403604
3/12/2013,5231.1,5234.6,5204.6,5207.29,773317700,5207.29,-0.003252123
2/12/2013,5271.2,5283.2,5221.5,5231.09,640480700,5231.09,0.004570516
29/11/2013,5284.1,5289.2,5258.9,5271.19,682815800,5271.19,0.007665706
28/11/2013,5282.7,5316.6,5282.7,5284.11,685282400,5284.11,0.002451059
27/11/2013,5307.3,5312.5,5282.65,5282.65,584861300,5282.65,-0.0002763
26/11/2013,5303,5325.3,5295.9,5307.28,1221961400,5307.28,0.004662433
25/11/2013,5287.4,5325,5287.4,5303.03,679230200,5303.03,-0.000800787
22/11/2013,5240.8,5304.1,5240.8,5287.4,631406100,5287.4,-0.002947372
21/11/2013,5260.3,5260.3,5237.8,5240.81,816020500,5240.81,-0.008811514
20/11/2013,5304.3,5304.3,5249.1,5260.28,671938100,5260.28,0.003715075
19/11/2013,5335.4,5335.4,5296.9,5304.34,649627200,5304.34,0.00837598
18/11/2013,5352.8,5355.2,5309.7,5335.35,536477300,5335.35,0.005846156
15/11/2013,5307.4,5357.1,5293.3,5352.85,647368800,5352.85,0.00328001
14/11/2013,5271.8,5329.1,5271.8,5307.38,663098600,5307.38,-0.00849454
13/11/2013,5343.8,5343.8,5261.6,5271.78,784910000,5271.78,-0.006707641
12/11/2013,5338.4,5371.9,5337.8,5343.77,706763800,5343.77,0.013655729
11/11/2013,5352.5,5390.3,5325.2,5338.38,694907100,5338.38,-0.001008651
8/11/2013,5373.1,5373.1,5331.5,5352.49,685539000,5352.49,0.002643124
7/11/2013,5371.8,5378.4,5360.4,5373.07,745505100,5373.07,0.003844939
6/11/2013,5383.1,5384.64,5357.8,5384.64,682251800,5384.64,0.002153331
5/11/2013,5342.1,5389.3,5342.1,5383.06,481845500,5383.06,-0.000293427
4/11/2013,5362.8,5382,5340.5,5342.09,579147000,5342.09,-0.007610913
1/11/2013,5377.7,5377.7,5357.6,5362.84,599902700,5362.84,0.003884248
31/10/2013,5384,5398.1,5352.3,5377.7,772951200,5377.7,0.00277092
30/10/2013,5369.7,5397.7,5369.7,5383.95,732202300,5383.95,0.001162207
29/10/2013,5395.3,5398.1,5362.9,5369.67,700897300,5369.67,-0.002652328
28/10/2013,5341.4,5411,5341.4,5395.25,939940700,5395.25,0.004763794
25/10/2013,5327.6,5351.6,5327.6,5341.41,817413900,5341.41,-0.009979148
24/10/2013,5311.2,5338.9,5308.8,5327.58,635627900,5327.58,-0.002589204
23/10/2013,5327.4,5356.8,5310.2,5311.15,851919400,5311.15,-0.003083952
22/10/2013,5305.6,5334.3,5305.6,5327.4,815300700,5327.4,0.003059601
21/10/2013,5275.2,5319.4,5275.2,5305.64,682928000,5305.64,-0.004084544
18/10/2013,5237.6,5280.2,5237.6,5275.16,750729200,5275.16,-0.00574483
17/10/2013,5217.1,5248.5,5217.1,5237.48,809338100,5237.48,-0.007142911
16/10/2013,5214,5223.9,5186,5217.1,628198800,5217.1,-0.003891184
15/10/2013,5163.3,5221.2,5163.3,5214.01,638654600,5214.01,-0.000592283
14/10/2013,5186.2,5186.2,5142.8,5163.28,469382000,5163.28,-0.009729556
11/10/2013,5103.8,5194.7,5103.8,5186.24,642452600,5186.24,0.004446786
10/10/2013,5109.2,5109.2,5083.5,5103.78,603694700,5103.78,-0.015899766
9/10/2013,5102.1,5113.6,5075.7,5109.16,552039800,5109.16,0.001054121
8/10/2013,5117.6,5122,5083.5,5106.22,677962900,5106.22,-0.000575437
7/10/2013,5164.3,5170.4,5103.4,5117.6,0,5117.6,0.002228654
4/10/2013,5190.8,5190.8,5154.3,5164.27,540568100,5164.27,0.009119509
3/10/2013,5171.8,5215.8,5170.2,5190.78,610252200,5190.78,0.005133349
2/10/2013,5162.9,5186.6,5162.9,5171.81,661573500,5171.81,-0.003654557
1/10/2013,5174.9,5198.3,5158,5162.89,714464500,5162.89,-0.001724735
30/09/2013,5261.5,5261.5,5174.9,5174.93,882350700,5174.93,0.002332027
27/09/2013,5249.5,5268.6,5249.5,5261.5,762787000,5261.5,0.016728729
26/09/2013,5231.2,5249.5,5205.3,5249.45,546162500,5249.45,-0.002290221
25/09/2013,5189.9,5238.8,5186.3,5231.17,734550300,5231.17,-0.00348227
24/09/2013,5207.7,5207.7,5173.8,5189.92,633034300,5189.92,-0.007885425
23/09/2013,5232,5232,5183.1,5207.71,691253900,5207.71,0.003427799
20/09/2013,5250.7,5250.7,5224.4,5232.04,1829613600,5232.04,0.004671919
19/09/2013,5194,5255.4,5194,5250.69,1370564100,5250.69,0.003564575
18/09/2013,5207.3,5210.4,5183.8,5193.98,772699400,5193.98,-0.010800485
17/09/2013,5204.3,5219.4,5184.6,5207.32,669178500,5207.32,0.002568358
16/09/2013,5176.2,5221.7,5176.2,5204.3,588808400,5204.3,-0.000579953
13/09/2013,5199.2,5199.2,5165.2,5176.24,768069000,5176.24,-0.005391695
12/09/2013,5191.4,5208.8,5186.3,5199.17,853801800,5199.17,0.004429856
11/09/2013,5159.2,5191.4,5159.2,5191.39,788610300,5191.39,-0.001496393
10/09/2013,5140.3,5170.2,5140.3,5159.19,648650700,5159.19,-0.006202578
9/09/2013,5104.6,5140.5,5104.6,5140.26,622902900,5140.26,-0.003669181
6/09/2013,5101.8,5115.8,5074.8,5104.58,757941500,5104.58,-0.006941283
5/09/2013,5120.8,5131.1,5076.7,5101.78,782584000,5101.78,-0.000548527
4/09/2013,5154.4,5154.4,5111.9,5120.82,818738800,5120.82,0.003732031
3/09/2013,5145.9,5165.2,5145.6,5154.44,843838200,5154.44,0.006565355
2/09/2013,5093.5,5148.9,5085.3,5145.92,0,5145.92,-0.001652944
30/08/2013,5050.8,5093.5,5034.9,5093.48,992721800,5093.48,-0.010190598
29/08/2013,5047,5058.2,5023.8,5050.81,907721000,5050.81,-0.008377377
28/08/2013,5099.8,5099.8,5036.2,5046.98,863061100,5046.98,-0.000758294
27/08/2013,5093.9,5101.8,5067.9,5099.77,741622700,5099.77,0.01045972
26/08/2013,5081.4,5115.4,5081.4,5094.27,851495900,5094.27,-0.00107848
23/08/2013,5036.4,5099.8,5036.4,5081.45,989757800,5081.45,-0.002516553
22/08/2013,5058.7,5058.7,4987.8,5034.13,1000293600,5034.13,-0.009312303
21/08/2013,5037.4,5065.2,5029,5058.72,765631000,5058.72,0.004884657
20/08/2013,5071.4,5071.4,5017.2,5037.44,816744500,5037.44,-0.004206598
19/08/2013,5072.2,5085.7,5057.4,5071.4,810832100,5071.4,0.00674152
16/08/2013,5109.5,5109.5,5059.5,5072.2,881928900,5072.2,0.000157747
15/08/2013,5113.8,5121.9,5098.6,5109.48,967844100,5109.48,0.007349868
14/08/2013,5114.3,5124.6,5099.8,5113.77,761336500,5113.77,0.000839616
13/08/2013,5065.7,5117.4,5065.7,5114.29,891177400,5114.29,0.000101686
12/08/2013,5012,5066.6,5005.3,5065.69,749755700,5065.69,-0.009502785
9/08/2013,5021.1,5032.7,4980.7,5011.96,666832600,5011.96,-0.01060665
8/08/2013,4968.4,5039,4968.4,5021.1,884554700,5021.1,0.001823638
7/08/2013,5061.3,5061.3,4965.1,4968.43,822798100,4968.43,-0.010489733
6/08/2013,5067.2,5073.6,5043.6,5061.33,690627900,5061.33,0.01869806
5/08/2013,5072.8,5072.8,5056.9,5067.17,516191800,5067.17,0.001153847
2/08/2013,5019.1,5072.8,5019.1,5072.8,748761000,5072.8,0.001111074
1/08/2013,5010.2,5049.5,4988.5,5019.07,840663000,5019.07,-0.010591784
31/07/2013,5003.9,5054.9,5003.9,5010.18,819372500,5010.18,-0.001771244
30/07/2013,5003.7,5011.7,4983,5003.9,785016800,5003.9,-0.001253448
29/07/2013,4999.9,5016.9,4993.3,5003.68,0,5003.68,-4.39657E-05
26/07/2013,4994,5020.1,4985.1,4999.94,0,4999.94,-0.00074745
19/07/2013,4951.3,4967.8,4920.5,4930.64,0,4930.64,-0.013860166
12/07/2013,4922.5,4968.9,4922.5,4931.14,0,4931.14,0.000101407
5/07/2013,4753.6,4811.1,4753.6,4800.27,0,4800.27,-0.026539502
28/06/2013,4766.5,4788.1,4751,4758.5,0,4758.5,-0.008701594
