"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/HgcGPmSorS #humanresources",FALSE,0,NA,2014-08-19 21:01:29,FALSE,NA,"501836373872377856",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"#IT's biggest challenges = #mobility, cloud &amp; big data. We addressed these challenges at #GartnerCAT : http://t.co/Z6gKrzEQl0",FALSE,0,NA,2014-08-19 20:31:08,FALSE,NA,"501828734538637312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",2,FALSE,FALSE,NA,NA
"We're hiring! View our open positions here: http://t.co/qUPkVKEWv6 w/ @PGiJobs #jobs #careerhunt #hiring http://t.co/6Sbn2jmeUk",FALSE,0,NA,2014-08-19 20:01:33,FALSE,NA,"501821289498423297",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Follow us on #GooglePlus company news, collaboration trends and so much more! Go here: http://t.co/aq3koPF4pB http://t.co/BEClclo5G1",FALSE,0,NA,2014-08-19 19:02:32,FALSE,NA,"501806437363118080",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"We love #innovation! This bike grows up w/ your kids so you don't have to buy new ones: http://t.co/5qnxH5dspy http://t.co/R1REEbQLsd",FALSE,0,NA,2014-08-19 18:02:46,FALSE,NA,"501791396752539648",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Hosted an awesome #webinar? Here's what you should do immediately after it's over: http://t.co/ckZ6ZwwJm8  http://t.co/9HD308alQV",FALSE,0,NA,2014-08-19 17:01:47,FALSE,NA,"501776049207009281",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Excited to announce that we’ve joined forces w/ @thinkingphones to bring cloud #collaboration to business everywhere! http://t.co/u7Bo7l2ad1",FALSE,2,NA,2014-08-19 16:43:39,FALSE,NA,"501771486785310721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PGi",1,FALSE,FALSE,NA,NA
"Who's responsible for ensuring your customers are happy every time they reach out? The #CIO: http://t.co/h2de81j4ep http://t.co/KAdRDX6BqZ",FALSE,0,NA,2014-08-19 16:01:25,FALSE,NA,"501760859732197376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"The benefits of coffee for productivity and collaboration: http://t.co/NwDBv33Cqe #coffeeweek #takeback60 http://t.co/JEl5WwW3gZ",FALSE,0,NA,2014-08-19 15:02:12,FALSE,NA,"501745956732555265",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Siri’s inventors are building a radical new AI that does anything you ask. Read about it in our Flipboard magazine: http://t.co/q73ht1zBJg",FALSE,0,NA,2014-08-19 14:01:51,FALSE,NA,"501730768365047808",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"#Webinars offer a variety of ways to meet your team’s goals, regardless of dept or role. Examples: http://t.co/uksyJPlkqH by @AshleySpeagle",FALSE,0,NA,2014-08-19 13:02:21,FALSE,NA,"501715796364894209",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
"Creating a presentation or writing an email to a colleague? Utilize these 12 tips for strong, credible biz writing: http://t.co/IiVhQrrrFa",FALSE,0,NA,2014-08-19 12:01:57,FALSE,NA,"501700594525286400",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"Hosted an awesome #webinar? Here's what you should do immediately after it's over: http://t.co/ckZ6ZwwJm8  http://t.co/9HD308alQV",FALSE,0,NA,2014-08-19 02:00:54,FALSE,NA,"501549332945178624",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#Flexiblework: 12 of the most common types of #flexwork: http://t.co/bZfxX0eeRB w/ @SlideShare http://t.co/b50quGT1VL",FALSE,0,NA,2014-08-19 01:01:01,FALSE,NA,"501534263918202880",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",1,FALSE,FALSE,NA,NA
"#HR: Watch our recent webcast, learn innovative ways to communicate benefits to a dispersed workforce http://t.co/HgcGPmSorS #humanresources",FALSE,0,NA,2014-08-19 00:00:59,FALSE,NA,"501519156110708736",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PGi",0,FALSE,FALSE,NA,NA
